Ticker,Company Name,Combined
FCX,Freeport-McMoRan,FCX - Freeport-McMoRan
GRMN,Garmin,GRMN - Garmin
IT,Gartner,IT - Gartner
GE,GE Aerospace,GE - GE Aerospace
GEHC,GE HealthCare,GEHC - GE HealthCare
GEV,GE Vernova,GEV - GE Vernova
GEN,Gen Digital,GEN - Gen Digital
GNRC,Generac,GNRC - Generac
GD,General Dynamics,GD - General Dynamics
GIS,General Mills,GIS - General Mills
GM,General Motors,GM - General Motors
GPC,Genuine Parts Company,GPC - Genuine Parts Company
GILD,Gilead Sciences,GILD - Gilead Sciences
GPN,Global Payments,GPN - Global Payments
GL,Globe Life,GL - Globe Life
GDDY,GoDaddy,GDDY - GoDaddy
GS,Goldman Sachs,GS - Goldman Sachs
HAL,Halliburton,HAL - Halliburton
HIG,Hartford (The),HIG - Hartford (The)
HAS,Hasbro,HAS - Hasbro
HCA,HCA Healthcare,HCA - HCA Healthcare
DOC,Healthpeak Properties,DOC - Healthpeak Properties
HSIC,Henry Schein,HSIC - Henry Schein
HSY,Hershey Company (The),HSY - Hershey Company (The)
HES,Hess Corporation,HES - Hess Corporation
HPE,Hewlett Packard Enterprise,HPE - Hewlett Packard Enterprise
HLT,Hilton Worldwide,HLT - Hilton Worldwide
HOLX,Hologic,HOLX - Hologic
HD,Home Depot (The),HD - Home Depot (The)
HON,Honeywell,HON - Honeywell
HRL,Hormel Foods,HRL - Hormel Foods
HST,Host Hotels & Resorts,HST - Host Hotels & Resorts
HWM,Howmet Aerospace,HWM - Howmet Aerospace
HPQ,HP Inc.,HPQ - HP Inc.
HUBB,Hubbell Incorporated,HUBB - Hubbell Incorporated
HUM,Humana,HUM - Humana
HBAN,Huntington Bancshares,HBAN - Huntington Bancshares
HII,Huntington Ingalls Industries,HII - Huntington Ingalls Industries
IBM,IBM,IBM - IBM
IEX,IDEX Corporation,IEX - IDEX Corporation
IDXX,Idexx Laboratories,IDXX - Idexx Laboratories
ITW,Illinois Tool Works,ITW - Illinois Tool Works
INCY,Incyte,INCY - Incyte
IR,Ingersoll Rand,IR - Ingersoll Rand
PODD,Insulet Corporation,PODD - Insulet Corporation
INTC,Intel,INTC - Intel
ICE,Intercontinental Exchange,ICE - Intercontinental Exchange
IFF,International Flavors & Fragrances,IFF - International Flavors & Fragrances
IP,International Paper,IP - International Paper
IPG,Interpublic Group of Companies (The),IPG - Interpublic Group of Companies (The)
INTU,Intuit,INTU - Intuit
ISRG,Intuitive Surgical,ISRG - Intuitive Surgical
IVZ,Invesco,IVZ - Invesco
INVH,Invitation Homes,INVH - Invitation Homes
IQV,IQVIA,IQV - IQVIA
IRM,Iron Mountain,IRM - Iron Mountain
